Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
134.221.96.12-186.98.0.56-0-0-0,134.221.96.12,0,186.98.0.56,0,0,24/01/2023 11:50:05 AM,15249946,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13114800537654364,1.5249946E7,0.0,1.5249946E7,1.5249946E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06557400268827182,0.06557400268827182,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,1.5249946E7,0.0,1.5249946E7,1.5249946E7,No Label
134.221.96.7-151.35.0.101-0-0-0,134.221.96.7,0,151.35.0.101,0,0,24/01/2023 11:48:55 AM,111138110,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05398688172760901,2.2227622E7,4131556.148239849,2.6242691E7,1.7480364E7,9.3657746E7,2.34144365E7,3656430.4850509143,2.6242691E7,1.805923E7,0,0,0,0,0,0,0,0,0,0,0,0.04498906810634084,0.008997813621268167,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,5,0,1,0,-1,-1,0,0,0,0,0,0,2.2227622E7,4131556.148239849,2.6242691E7,1.7480364E7,No Label
134.221.96.7-151.35.0.32-0-0-0,134.221.96.7,0,151.35.0.32,0,0,24/01/2023 11:48:57 AM,110314547,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06345491315846132,1.8385757833333332E7,9523492.24546163,2.623156E7,819725.0,9.3618215E7,1.8723643E7,1.0607303276177669E7,2.623156E7,819725.0,0,0,0,0,0,0,0,0,0,0,0,0.05438992556439542,0.009064987594065902,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,6,0,1,0,-1,-1,0,0,819725.0,0.0,819725.0,819725.0,2.18989644E7,4560863.71602861,2.623156E7,1.6696332E7,No Label
192.168.52.8-54.148.77.40-33544-443-6,54.148.77.40,443,192.168.52.8,33544,6,24/01/2023 11:49:04 AM,409568,1,2,0.0,66.0,0.0,0.0,0.0,0.0,35.0,31.0,33.0,2.8284271247461903,161.14540198453005,7.3247909992968205,204784.0,289263.2420477929,409324.0,244.0,0,0,0,0,0,244.0,244.0,0.0,244.0,244.0,0,1,0,0,32,64,2.441596999765607,4.883193999531214,0.0,35.0,24.25,16.276260831857748,264.9166666666667,0,0,0,1,1,0,0,0,2.0,32.333333333333336,0.0,33.0,0,0,0,0,0,0,1,0,2,66,-1,501,0,0,0,0,0,0,0,0,0,0,No Label
134.221.96.0-0.0.0.24-0-0-0,134.221.96.0,0,0.0.0.24,0,0,24/01/2023 11:49:01 AM,111442137,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0448663327409093,2.786053425E7,5254325.2256660815,3.5642744E7,2.457822E7,7.5799393E7,2.5266464333333332E7,1018188.5730434875,2.6436085E7,2.457822E7,0,0,0,0,0,0,0,0,0,0,0,0.03589306619272744,0.00897326654818186,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,4,0,1,0,-1,-1,0,0,0,0,0,0,2.786053425E7,5254325.2256660815,3.5642744E7,2.457822E7,No Label
